['6000_students/r_students.txt', '6:30', '23:59', '50']
--------CROWDED EDGES--------
722722002 369
152169589 195
721202195 194
721202194 179
721202200 150
167402604 128
152173980 104
167402568 102
418408259 99
680369130 95
151183979 95
152169542 92
237462367 88
152169607 88
726181175 87
151184859 87
151184877 87
152169642 86
152169600 84
152173958 83
448536286 83
151184825 82
152173974 80
151184842 77
151183957 75
43667438 74
17558874 73
43667477 71
151183987 70
151183975 70
314294738 70
680369139 70
43667493 69
418408233 68
151183954 68
152169656 68
205554782 68
137776166 64
726181112 64
680369133 62
162046254 62
151184843 61
151183990 61
162046252 61
153117680 61
314294735 61
17540347 59
721202199 58
151184865 57
152173965 56
--------TIME--------
start: 2021-04-24 20:55:01.656697
end: 2021-04-25 06:47:18.658226
timedelta: 9:52:17.001529
