['6000_students/f_students.txt', '6:30', '23:59', '50']
--------CROWDED EDGES--------
722722002 228
721202195 118
152169589 111
721202194 100
721202200 76
137776166 72
167402604 72
152173980 70
726181112 69
167402568 63
680369130 62
151183979 60
880857138 58
418408259 55
237462367 54
151184859 53
151184877 53
152169607 53
152169542 53
43667477 52
680369139 49
418408233 40
167402586 39
17558874 38
151184825 38
151183957 38
726181106 38
151184842 37
314294738 37
153117641 37
43667438 37
152169537 37
152169656 37
167402569 36
151183991 35
151183975 34
151183990 34
152173965 33
137776158 33
17540347 33
143342006 33
680369133 32
152170429 32
721202199 32
151183959 31
43667493 31
152173964 30
151183954 30
731225426 30
354395673 30
--------TIME--------
start: 2021-04-24 20:55:01.689473
end: 2021-04-25 02:46:34.029116
timedelta: 5:51:32.339643
