['6000_students/w_students.txt', '6:30', '23:59', '50']
--------CROWDED EDGES--------
722722002 235
721202195 115
721202194 98
152169589 94
448536286 92
152169600 90
152169642 90
152173980 81
721202200 74
43667477 74
152169656 73
680369139 68
152173958 67
43667438 65
167402604 64
418408259 64
151184825 63
152169540 61
151184876 60
153121930 60
680369130 60
726181175 59
152169576 58
151183979 58
880857138 58
167402568 56
680369133 55
153117680 55
314294735 55
152173974 54
137776166 53
152169542 52
237462367 52
151183987 52
418408233 51
151184859 51
151184877 51
152169607 51
314294738 49
151184846 48
726181112 48
153124522 47
151183991 46
151184865 46
205554782 45
153117565 44
151183975 40
152169586 39
43667493 39
151183954 38
--------TIME--------
start: 2021-04-24 20:55:01.467410
end: 2021-04-25 07:05:55.431109
timedelta: 10:10:53.963699
