Course - Sec,Title,Cr,St,Max,Opn,Xlst,CRN,Instructor,When,Begin,End,Where
AME98991-11,Dissertation Research,V,OP,5,5,,21072,"Stanisic, Michael",TBA,2/3/2021,5/11/2021,TBA
AME98991-12,Dissertation Research,V,OP,5,3,,23099,"Zorlutuna, Pinar",TBA,2/3/2021,5/11/2021,TBA
AME98991-13,Dissertation Research,V,OP,5,4,,20822,"Thomas, Flint",TBA,2/3/2021,5/11/2021,TBA
AME98991-14,Dissertation Research,V,OP,10,9,,21174,"Corke, Thomas",TBA,2/3/2021,5/11/2021,TBA
AME98991-15,Dissertation Research,V,OP,5,2,,20819,"Go, David",TBA,2/3/2021,5/11/2021,TBA
AME98991-16,Dissertation Research,V,OP,5,5,,23865,"Wang, Jian-Xun",TBA,2/3/2021,5/11/2021,TBA
AME98991-17,Dissertation Research,V,OP,5,1,,21074,"Neretina, Svetlana",TBA,2/3/2021,5/11/2021,TBA
AME98991-18,Dissertation Research,V,OP,5,5,,24366,"Sakaue, Hirotaka",TBA,2/3/2021,5/11/2021,TBA
AME98991-19,Dissertation Research,V,OP,5,5,,21094,"MacArt, Jonathan",TBA,2/3/2021,5/11/2021,TBA
AME98991-20,Dissertation Research,V,OP,5,3,,24378,"Leonov, Sergey",TBA,2/3/2021,5/11/2021,TBA
AME98991-21,Dissertation Research,V,OP,5,4,,21245,"Goodwine, John",TBA,2/3/2021,5/11/2021,TBA
AME98991-22,Dissertation Research,V,OP,5,5,,24367,"Juliano, Thomas",TBA,2/3/2021,5/11/2021,TBA
AME98991-23,Dissertation Research,V,OP,8,7,,21112,"Schmiedeler, James",TBA,2/3/2021,5/11/2021,TBA
AME98991-24,Dissertation Research,V,OP,5,4,,20964,"Niebur, Glen",TBA,2/3/2021,5/11/2021,TBA
AME98991-25,Dissertation Research,V,OP,5,5,,21117,"Ovaert, Timothy",TBA,2/3/2021,5/11/2021,TBA
AME98991-26,Dissertation Research,V,OP,10,9,,21387,"Morris, Scott",TBA,2/3/2021,5/11/2021,TBA
AME98991-27,Dissertation Research,V,OP,5,2,,24833,"Luo, Tengfei",TBA,2/3/2021,5/11/2021,TBA
AME98991-28,Dissertation Research,V,OP,5,4,,21401,"Roeder, Ryan",TBA,2/3/2021,5/11/2021,TBA
AME98991-29,Dissertation Research,V,OP,5,5,,24836,"Kennedy, Andrew",TBA,2/3/2021,5/11/2021,TBA
AME98991-30,Dissertation Research,V,OP,5,2,,21914,"Matous, Karel",TBA,2/3/2021,5/11/2021,TBA
AME98991-31,Dissertation Research,V,OP,5,2,,21916,"Zabaras, Nicholas",TBA,2/3/2021,5/11/2021,TBA
AME98991-32,Dissertation Research,V,OP,5,4,,22033,"Richter, David",TBA,2/3/2021,5/11/2021,TBA
AME98991-33,Dissertation Research,V,OP,10,7,,21917,"Wang, Meng",TBA,2/3/2021,5/11/2021,TBA
AME98991-34,Dissertation Research,V,OP,10,9,,25878,"Zhang, Yanliang",TBA,2/3/2021,5/11/2021,TBA
AME98991-35,Dissertation Research,V,OP,10,7,,25877,"McClarren, Ryan",TBA,2/3/2021,5/11/2021,TBA
AME98991-36,Dissertation Research,V,OP,10,10,,25876,"Holland, Maria",TBA,2/3/2021,5/11/2021,TBA
AME98991-37,Dissertation Research,V,OP,10,7,,25879,"Hanjaya Putra, Donny",TBA,2/3/2021,5/11/2021,TBA
AME98991-38,Dissertation Research,V,OP,8,8,,26888,"Yoon, Sangpil",TBA,2/3/2021,5/11/2021,TBA
AME98991-39,Dissertation Research,V,OP,5,5,,27372,"Zahr, Matthew",TBA,2/3/2021,5/11/2021,TBA
AME98991-40,Dissertation Research,V,OP,5,5,,27382,"Kinzel, Edward",TBA,2/3/2021,5/11/2021,TBA
AME98991-41,Dissertation Research,V,OP,5,5,,27383,"Plecnik, Mark",TBA,2/3/2021,5/11/2021,TBA
AME98998-01,Nonresident Dissertation Rsrch,V,OP,10,10,,20360,"Jumper, Eric",TBA,2/3/2021,5/11/2021,TBA
AME98998-02,Nonresident Dissertation Rsrch,V,OP,5,5,,21138,"Thomas, Flint",TBA,2/3/2021,5/11/2021,TBA
AME98998-03,Nonresident Dissertation Rsrch,V,OP,5,5,,21512,"Im, Seong-kyun",TBA,2/3/2021,5/11/2021,TBA
AME98998-04,Nonresident Dissertation Rsrch,V,OP,5,5,,21513,"Wang, Jian-Xun",TBA,2/3/2021,5/11/2021,TBA
AME98998-05,Nonresident Dissertation Rsrch,V,OP,5,5,,21514,"McClarren, Ryan",TBA,2/3/2021,5/11/2021,TBA
AME98998-06,Nonresident Dissertation Rsrch,V,OP,5,5,,21515,"Corke, Thomas",TBA,2/3/2021,5/11/2021,TBA
AME98998-07,Nonresident Dissertation Rsrch,V,OP,5,5,,21516,"Go, David",TBA,2/3/2021,5/11/2021,TBA
AME98998-08,Nonresident Dissertation Rsrch,V,OP,5,4,,21517,"Goodwine, John",TBA,2/3/2021,5/11/2021,TBA
AME98998-09,Nonresident Dissertation Rsrch,V,OP,5,5,,21518,"Boerckel, Joel",TBA,2/3/2021,5/11/2021,TBA
AME98998-10,Nonresident Dissertation Rsrch,V,OP,5,5,,21403,"MacArt, Jonathan",TBA,2/3/2021,5/11/2021,TBA
AME98998-11,Nonresident Dissertation Rsrch,V,OP,5,5,,22897,"Tryggvason, Gretar",TBA,2/3/2021,5/11/2021,TBA
AME98998-12,Nonresident Dissertation Rsrch,V,OP,5,5,,21519,"Morris, Scott",TBA,2/3/2021,5/11/2021,TBA
AME98998-13,Nonresident Dissertation Rsrch,V,OP,5,5,,21520,"Christensen, Kenneth",TBA,2/3/2021,5/11/2021,TBA
AME98998-14,Nonresident Dissertation Rsrch,V,OP,5,5,,21521,"Niebur, Glen",TBA,2/3/2021,5/11/2021,TBA
AME98998-15,Nonresident Dissertation Rsrch,V,OP,5,5,,21522,"Ovaert, Timothy",TBA,2/3/2021,5/11/2021,TBA
AME98998-16,Nonresident Dissertation Rsrch,V,OP,5,5,,21523,"Gordeyev, Stanislav",TBA,2/3/2021,5/11/2021,TBA
AME98998-17,Nonresident Dissertation Rsrch,V,OP,5,5,,21524,"Powers, Joseph",TBA,2/3/2021,5/11/2021,TBA
AME98998-18,Nonresident Dissertation Rsrch,V,OP,5,5,,21525,"Wensing, Patrick",TBA,2/3/2021,5/11/2021,TBA
AME98998-19,Nonresident Dissertation Rsrch,V,OP,5,5,,21526,"Roeder, Ryan",TBA,2/3/2021,5/11/2021,TBA
AME98998-20,Nonresident Dissertation Rsrch,V,OP,5,5,,21527,"Neretina, Svetlana",TBA,2/3/2021,5/11/2021,TBA
AME98998-21,Nonresident Dissertation Rsrch,V,OP,5,5,,23098,"Zorlutuna, Pinar",TBA,2/3/2021,5/11/2021,TBA
AME98998-22,Nonresident Dissertation Rsrch,V,OP,5,5,,21528,"Stanisic, Michael",TBA,2/3/2021,5/11/2021,TBA
AME98998-23,Nonresident Dissertation Rsrch,V,OP,3,3,,23417,"Peng, Zhangli",TBA,2/3/2021,5/11/2021,TBA
AME98998-24,Nonresident Dissertation Rsrch,V,OP,5,5,,24368,"Sakaue, Hirotaka",TBA,2/3/2021,5/11/2021,TBA
AME98998-25,Nonresident Dissertation Rsrch,V,OP,5,5,,24369,"Juliano, Thomas",TBA,2/3/2021,5/11/2021,TBA
AME98998-26,Nonresident Dissertation Rsrch,V,OP,5,5,,24379,"Leonov, Sergey",TBA,2/3/2021,5/11/2021,TBA
AME98998-27,Nonresident Dissertation Rsrch,V,OP,5,5,,24834,"Luo, Tengfei",TBA,2/3/2021,5/11/2021,TBA
AME98998-28,Nonresident Dissertation Rsrch,V,OP,5,5,,24837,"Kennedy, Andrew",TBA,2/3/2021,5/11/2021,TBA
AME98998-30,Nonresident Dissertation Rsrch,V,OP,5,5,,21918,"Schmiedeler, James",TBA,2/3/2021,5/11/2021,TBA
AME98998-31,Nonresident Dissertation Rsrch,V,OP,5,5,,21919,"Zabaras, Nicholas",TBA,2/3/2021,5/11/2021,TBA
AME98998-32,Nonresident Dissertation Rsrch,V,OP,5,5,,21920,"Richter, David",TBA,2/3/2021,5/11/2021,TBA
AME98998-33,Nonresident Dissertation Rsrch,V,OP,5,5,,21921,"Wang, Meng",TBA,2/3/2021,5/11/2021,TBA
AME98998-34,Nonresident Dissertation Rsrch,V,OP,5,5,,25880,"Zhang, Yanliang",TBA,2/3/2021,5/11/2021,TBA
AME98998-35,Nonresident Dissertation Rsrch,V,OP,5,5,,25881,"Holland, Maria",TBA,2/3/2021,5/11/2021,TBA
AME98998-36,Nonresident Dissertation Rsrch,V,OP,5,5,,25882,"Hanjaya Putra, Donny",TBA,2/3/2021,5/11/2021,TBA
AME98998-37,Nonresident Dissertation Rsrch,V,OP,8,8,,26889,"Yoon, Sangpil",TBA,2/3/2021,5/11/2021,TBA
AME98998-38,Nonresident Dissertation Rsrch,V,OP,5,5,,27373,"Zahr, Matthew",TBA,2/3/2021,5/11/2021,TBA
AME98998-39,Nonresident Dissertation Rsrch,V,OP,5,5,,27384,"Kinzel, Edward",TBA,2/3/2021,5/11/2021,TBA
AME98998-40,Nonresident Dissertation Rsrch,V,OP,5,5,,27385,"Plecnik, Mark",TBA,2/3/2021,5/11/2021,TBA
AME98998-41,Nonresident Dissertation Rsrch,V,OP,5,5,,33467,"Rosenberger, Matthew",TBA,2/3/2021,5/11/2021,TBA
