,When
3660,TBA
3661,W - 6:30P - 9:00P
3662,M W - 1:00P - 2:35P
3663,R - 4:45P - 5:45P
3664,R - 3:45P - 4:45P
3665,T R - 11:10A - 12:25P
3666,T R - 3:55P - 5:10P
3667,T R - 11:10A - 12:25P
3668,T - 3:55P - 5:10P
3669,M W - 10:25A - 11:15A
3670,T R - 8:00A - 9:15A
3671,T R - 9:35A - 10:50A
3672,M W - 9:35A - 10:50A
3673,M W - 11:10A - 12:25P
3674,T R - 12:45P - 2:00P
3675,T R - 12:45P - 2:00P
3676,T R - 2:20P - 3:35P
3677,T R - 2:20P - 3:35P
3678,T R - 3:55P - 5:10P
3679,T R - 3:55P - 5:10P
3680,T R - 3:55P - 5:10P
3681,M W F - 9:10A - 10:00A
3682,M W F - 10:25A - 11:15A
3683,M W F - 11:40A - 12:30P
3684,M W F - 8:00A - 8:50A
3685,(01) M T R F - 3:30P - 6:00P(11) M T W - 3:30P - 6:00P
3686,(01) M T R F - 3:30P - 6:00P(11) M T W - 3:30P - 6:00P
3687,M T R F - 12:30P - 3:00P
3688,M T R F - 12:30P - 3:00P
3689,(01) M T R F - 3:30P - 6:00P(11) M T W - 3:30P - 6:00P
3690,M T R F - 12:30P - 3:00P
3691,M W - 12:45P - 2:00P
3692,M W - 2:20P - 3:35P
3693,T R - 11:10A - 12:25P
3694,T R - 9:35A - 10:50A
3695,T R - 12:45P - 2:00P
3696,M W - 12:45P - 2:00P
3697,M W - 2:20P - 3:35P
3698,M W - 2:20P - 3:35P
3699,T R - 2:20P - 3:35P
3700,M W F - 4:05P - 4:55P
3701,(01) M T W R - 10:45A - 12:00P(11) M T W R - 8:00A - 9:15A
3702,F - 10:25A - 11:15A
3703,F - 10:25A - 11:15A
3704,F - 10:25A - 11:15A
3705,T R - 9:35A - 10:50A
3706,M W - 11:10A - 12:25P
3707,T R - 9:35A - 10:50A
3708,T R - 12:45P - 2:00P
3709,M W - 11:10A - 12:25P
3710,T R - 11:10A - 12:25P
3711,T R - 11:10A - 12:25P
3712,T R - 11:10A - 12:25P
3713,T R - 11:10A - 12:25P
3714,T R - 11:10A - 12:25P
3715,M W - 2:20P - 3:35P
3716,M W - 2:20P - 3:35P
3717,M W - 2:20P - 3:35P
3718,M W - 2:20P - 3:35P
3719,M W - 2:20P - 3:35P
3720,M W - 3:55P - 5:10P
3721,M W - 3:55P - 5:10P
3722,M W - 3:55P - 5:10P
3723,M W - 3:55P - 5:10P
3724,M W - 3:55P - 5:10P
3725,(01) M W F - 2:30P - 4:00P(11) M W F - 12:00P - 1:30P
3726,(01) M W F - 2:30P - 4:00P(11) M W F - 12:00P - 1:30P
3727,(01) M W F - 2:30P - 4:00P(11) M W F - 12:00P - 1:30P
3728,(01) M W F - 12:00P - 1:30P(11) M W F - 2:30P - 4:00P
3729,(01) M W F - 12:00P - 1:30P(11) M W F - 2:30P - 4:00P
3730,M W F - 10:25A - 11:15A
3731,M W F - 10:25A - 11:15A
3732,M W F - 10:25A - 11:15A
3733,M W F - 10:25A - 11:15A
3734,M W F - 10:25A - 11:15A
3735,T R - 3:55P - 5:10P
3736,T R - 3:55P - 5:10P
3737,T R - 3:55P - 5:10P
3738,T R - 3:55P - 5:10P
3739,T R - 3:55P - 5:10P
3740,T R - 5:30P - 6:45P
3741,T R - 5:30P - 6:45P
3742,T R - 5:30P - 6:45P
3743,T R - 5:30P - 6:45P
3744,T R - 5:30P - 6:45P
3745,T R - 2:20P - 3:35P
3746,T R - 2:20P - 3:35P
3747,T R - 2:20P - 3:35P
3748,T R - 2:20P - 3:35P
3749,T R - 2:20P - 3:35P
3750,T R - 2:20P - 3:35P
3751,T R - 2:20P - 3:35P
3752,T R - 2:20P - 3:35P
3753,T R - 2:20P - 3:35P
3754,T R - 2:20P - 3:35P
3755,M W - 11:10A - 12:25P
3756,M W - 11:10A - 12:25P
3757,M W - 11:10A - 12:25P
3758,M W - 11:10A - 12:25P
3759,M W - 11:10A - 12:25P
3760,M W - 12:45P - 2:00P
3761,M W - 12:45P - 2:00P
3762,M W - 12:45P - 2:00P
3763,M W - 12:45P - 2:00P
3764,M W - 12:45P - 2:00P
3765,M W - 9:35A - 10:50A
3766,M W - 9:35A - 10:50A
3767,M W - 9:35A - 10:50A
3768,M W - 9:35A - 10:50A
3769,M W - 9:35A - 10:50A
3770,M W - 2:20P - 3:35P
3771,M W - 2:20P - 3:35P
3772,M W - 2:20P - 3:35P
3773,M W - 2:20P - 3:35P
3774,M W - 2:20P - 3:35P
3775,M W - 3:55P - 5:10P
3776,M W - 3:55P - 5:10P
3777,M W - 3:55P - 5:10P
3778,M W - 3:55P - 5:10P
3779,M W - 3:55P - 5:10P
3780,M W - 11:10A - 12:25P
3781,M W - 11:10A - 12:25P
3782,M W - 11:10A - 12:25P
3783,M W - 11:10A - 12:25P
3784,M W - 11:10A - 12:25P
3785,M W - 12:45P - 2:00P
3786,M W - 12:45P - 2:00P
3787,M W - 12:45P - 2:00P
3788,M W - 12:45P - 2:00P
3789,M W - 12:45P - 2:00P
3790,M W - 2:20P - 3:35P
3791,M W - 2:20P - 3:35P
3792,M W - 2:20P - 3:35P
3793,M W - 2:20P - 3:35P
3794,M W - 2:20P - 3:35P
3795,M W - 12:45P - 2:00P
3796,M W - 12:45P - 2:00P
3797,M W - 12:45P - 2:00P
3798,M W - 12:45P - 2:00P
3799,M W - 12:45P - 2:00P
3800,M W F - 1:00P - 1:50P
3801,M W F - 1:00P - 1:50P
3802,M W F - 1:00P - 1:50P
3803,M W F - 1:00P - 1:50P
3804,M W F - 1:00P - 1:50P
3805,M W - 12:45P - 2:00P
3806,M W - 12:45P - 2:00P
3807,M W - 12:45P - 2:00P
3808,M W - 12:45P - 2:00P
3809,M W - 12:45P - 2:00P
3810,(01) T W R F - 11:00A - 1:30P(11) M T W - 11:00A - 1:30P(21) F - 11:00A - 1:30P(31) M T W R F - 11:00A - 1:30P(41) M T - 11:00A - 1:30P
3811,(01) T W R F - 11:00A - 1:30P(11) M T W - 11:00A - 1:30P(21) F - 11:00A - 1:30P(31) M T W R F - 11:00A - 1:30P(41) M T - 11:00A - 1:30P
3812,(01) T W R F - 11:00A - 1:30P(11) M T W - 11:00A - 1:30P(21) F - 11:00A - 1:30P(31) M T W R F - 11:00A - 1:30P(41) M T - 11:00A - 1:30P
3813,(01) T W R F - 11:00A - 1:30P(11) M T W - 11:00A - 1:30P(21) F - 11:00A - 1:30P(31) M T W R F - 11:00A - 1:30P(41) M T - 11:00A - 1:30P
3814,(01) T W R F - 11:00A - 1:30P(11) M T W - 11:00A - 1:30P(21) F - 11:00A - 1:30P(31) M T W R F - 11:00A - 1:30P(41) M T - 11:00A - 1:30P
3815,M W F - 8:00A - 8:50A
3816,M W F - 8:00A - 8:50A
3817,M W F - 8:00A - 8:50A
3818,M W F - 8:00A - 8:50A
3819,M W F - 8:00A - 8:50A
3820,M W F - 10:25A - 11:15A
3821,M W F - 10:25A - 11:15A
3822,M W F - 10:25A - 11:15A
3823,M W F - 10:25A - 11:15A
3824,M W F - 10:25A - 11:15A
3825,M W F - 11:40A - 12:30P
3826,M W F - 11:40A - 12:30P
3827,M W F - 11:40A - 12:30P
3828,M W F - 11:40A - 12:30P
3829,M W F - 11:40A - 12:30P
3830,T R - 9:35A - 10:50A
3831,T R - 9:35A - 10:50A
3832,T R - 9:35A - 10:50A
3833,T R - 9:35A - 10:50A
3834,T R - 9:35A - 10:50A
3835,M T W R F - 1:00P - 2:30P
3836,M T W R F - 1:00P - 2:30P
3837,M T W R F - 1:00P - 2:30P
3838,M T W R F - 1:00P - 2:30P
3839,M T W R F - 1:00P - 2:30P
3840,T R - 3:55P - 5:10P
3841,T R - 3:55P - 5:10P
3842,T R - 3:55P - 5:10P
3843,T R - 3:55P - 5:10P
3844,T R - 3:55P - 5:10P
3845,M W - 2:20P - 3:35P
3846,M W - 2:20P - 3:35P
3847,M W - 2:20P - 3:35P
3848,M W - 2:20P - 3:35P
3849,M W - 2:20P - 3:35P
3850,M W F - 9:10A - 10:00A
3851,M W F - 9:10A - 10:00A
3852,M W F - 9:10A - 10:00A
3853,M W F - 9:10A - 10:00A
3854,M W F - 9:10A - 10:00A
3855,M W F - 10:25A - 11:15A
3856,M W F - 10:25A - 11:15A
3857,M W F - 10:25A - 11:15A
3858,M W F - 10:25A - 11:15A
3859,M W F - 10:25A - 11:15A
3860,M W - 3:55P - 5:10P
3861,M W - 3:55P - 5:10P
3862,M W - 3:55P - 5:10P
3863,M W - 3:55P - 5:10P
3864,M W - 3:55P - 5:10P
3865,M W - 3:55P - 5:10P
3866,T R - 9:35A - 10:50A
3867,T R - 9:35A - 10:50A
3868,T R - 9:35A - 10:50A
3869,T R - 9:35A - 10:50A
3870,T R - 9:35A - 10:50A
3871,M W - 2:20P - 3:35P
3872,M W - 2:20P - 3:35P
3873,M T R F - 12:30P - 3:00P
3874,M T R F - 12:30P - 3:00P
3875,M T R F - 12:30P - 3:00P
3876,M T R F - 12:30P - 3:00P
3877,M T R F - 12:30P - 3:00P
3878,T - 5:40P - 7:10P
3879,TBA
3880,TBA
3881,TBA
3882,TBA
3883,TBA
3884,T - 5:30P - 6:45P
3885,F - 10:25A - 11:40A
3886,R - 7:00P - 8:30P
3887,T R - 9:35A - 10:50A
3888,M W - 3:55P - 5:10P
3889,M W - 11:10A - 12:25P
3890,T R - 12:45P - 2:00P
3891,M W - 12:45P - 2:00P
3892,T R - 12:45P - 2:00P
3893,T R - 9:35A - 10:50A
3894,T R - 12:45P - 2:00P
3895,M - 6:30P - 9:00P
3896,T R - 11:10A - 12:25P
3897,T R - 11:10A - 12:25P
3898,M W - 9:35A - 10:50A
3899,M W - 2:20P - 3:35P
3900,T R - 3:55P - 5:10P
3901,M W - 2:20P - 3:35P
3902,M W - 8:00A - 9:15A
3903,T R - 9:35A - 10:50A
3904,T R - 11:10A - 12:25P
3905,M W - 2:20P - 3:35P
3906,T R - 12:45P - 2:00P
3907,T - 3:55P - 6:40P
3908,T R - 12:45P - 2:00P
3909,M - 3:30P - 6:00P
3910,M W - 10:25A - 11:15A
3911,T R - 11:10A - 12:25P
3912,T R - 2:20P - 3:35P
3913,M W - 2:20P - 3:35P
3914,T R - 2:20P - 3:35P
3915,T R - 3:55P - 5:10P
3916,T R - 2:20P - 3:35P
3917,T R - 3:55P - 5:10P
3918,T R - 11:10A - 12:25P
3919,T - 5:40P - 6:30P
3920,TBA
3921,T R - 8:00A - 9:15A
3922,TBA
3923,TBA
3924,TBA
3925,TBA
3926,TBA
3927,TBA
3928,TBA
3929,TBA
3930,TBA
3931,TBA
3932,TBA
3933,TBA
3934,TBA
3935,T R - 9:35A - 10:50A
3936,M W - 3:55P - 5:10P
3937,R - 11:15A - 2:00P
3938,M W - 9:35A - 10:50A
3939,M W - 9:35A - 10:50A
3940,M W - 8:00A - 9:15A
3941,M W - 8:00A - 9:15A
3942,T R - 9:35A - 10:50A
3943,T R - 3:55P - 5:10P
3944,M W - 9:35A - 10:50A
3945,T R - 12:45P - 2:00P
3946,T R - 12:45P - 2:00P
3947,M W - 2:20P - 3:35P
3948,M W - 8:00A - 9:15A
3949,T R - 9:35A - 10:50A
3950,M W - 11:10A - 12:25P
3951,M W - 11:10A - 12:25P
3952,M W - 2:20P - 3:35P
3953,T R - 11:10A - 12:25P
3954,T R - 12:45P - 2:00P
3955,T R - 12:45P - 2:00P
3956,T R - 2:20P - 3:35P
3957,T R - 2:20P - 3:35P
3958,M W - 2:20P - 3:35P
3959,T R - 8:00A - 9:15A
3960,T - 11:10A - 1:55P
3961,M W - 9:35A - 10:50A
3962,M W - 9:35A - 10:50A
3963,M T W R F - 10:00A - 12:05P
3964,T R - 2:20P - 3:35P
3965,T R - 3:55P - 5:10P
3966,T R - 11:10A - 12:25P
3967,T R - 2:20P - 3:35P
3968,W - 9:35A - 12:20P
3969,F - 9:00A - 11:30A
3970,T - 11:10A - 12:25P
3971,W - 3:55P - 5:10P
3972,TBA
3973,T R - 9:35A - 10:50A
3974,TBA
3975,TBA
3976,F - 1:00P - 3:45P
3977,M - 2:30P - 3:20P
3978,M W - 12:45P - 2:00P
3979,TBA
3980,TBA
3981,TBA
3982,TBA
3983,TBA
3984,TBA
3985,TBA
3986,TBA
3987,TBA
3988,TBA
3989,TBA
3990,TBA
3991,TBA
3992,TBA
3993,TBA
3994,TBA
3995,TBA
3996,M - 4:30P - 5:30P
3997,TBA
3998,TBA
3999,TBA
4000,TBA
4001,TBA
4002,TBA
4003,M - 5:15P - 8:00P
4004,TBA
4005,TBA
4006,R - 11:15A - 2:00P
4007,M - 12:45P - 3:30P
4008,F - 9:00A - 10:00A
4009,M W - 2:20P - 3:35P
4010,M W - 3:55P - 5:10P
4011,M - 11:25A - 12:15P
4012,M W - 3:55P - 5:10P
4013,W - 8:00A - 10:45A
4014,F - 8:00A - 10:45A
4015,R - 12:45P - 3:30P
4016,M W - 11:10A - 12:25P
4017,W - 3:55P - 6:40P
4018,T - 12:45P - 3:30P
4019,TBA
4020,T - 3:55P - 6:40P
4021,R - 12:45P - 3:30P
4022,R - 3:55P - 6:40P
4023,W - 8:00A - 10:45A
4024,W - 12:45P - 3:30P
4025,T - 8:00A - 10:45A
4026,F - 8:00A - 10:45A
4027,TBA
4028,TBA
4029,TBA
4030,TBA
4031,TBA
4032,TBA
4033,TBA
4034,TBA
4035,TBA
4036,TBA
4037,TBA
4038,TBA
4039,TBA
4040,TBA
4041,TBA
4042,TBA
4043,TBA
4044,F - 3:55P - 6:40P
4045,TBA
4046,TBA
4047,TBA
4048,TBA
4049,TBA
4050,TBA
4051,TBA
4052,TBA
4053,TBA
4054,TBA
4055,TBA
4056,TBA
4057,TBA
4058,TBA
4059,TBA
4060,TBA
4061,TBA
4062,TBA
4063,TBA
4064,TBA
4065,TBA
4066,TBA
4067,TBA
4068,TBA
4069,TBA
4070,TBA
4071,TBA
4072,TBA
4073,TBA
4074,TBA
4075,TBA
4076,TBA
4077,TBA
4078,TBA
4079,TBA
4080,TBA
4081,TBA
4082,TBA
4083,TBA
4084,TBA
4085,TBA
4086,TBA
4087,TBA
4088,T R - 11:10A - 12:25P
4089,M T W R - 7:00P - 9:30P
4090,M W - 12:45P - 2:00P
4091,M W - 12:45P - 2:00P
4092,M W - 12:45P - 2:00P
4093,M W F - 8:00A - 8:50A
4094,T R - 11:10A - 12:25P
4095,M W - 12:45P - 2:00P
4096,T R - 9:35A - 10:50A
4097,M W - 5:30P - 6:45P
4098,T R - 11:10A - 12:25P
4099,T R - 12:45P - 2:00P
4100,R - 7:00P - 9:00P
4101,T R - 9:35A - 10:50A
4102,M W - 11:10A - 12:25P
4103,T R - 9:35A - 10:50A
4104,M W - 3:55P - 5:10P
4105,M T R - 12:00P - 2:00P
4106,M T R - 12:00P - 2:00P
4107,M T R - 12:00P - 2:00P
4108,M T R - 12:00P - 2:00P
4109,T R - 12:45P - 2:00P
4110,M W - 12:45P - 2:00P
4111,T R - 12:45P - 2:00P
4112,T R - 9:35A - 10:50A
4113,R - 5:30P - 8:00P
4114,T R - 12:45P - 2:00P
4115,R - 12:45P - 3:30P
4116,M W - 11:10A - 12:25P
4117,T R - 12:45P - 2:00P
4118,M W - 11:10A - 12:25P
4119,M W - 3:55P - 5:10P
4120,M W - 9:35A - 10:50A
4121,T R - 9:35A - 10:50A
4122,TBA
4123,TBA
4124,TBA
4125,TBA
4126,M W F - 8:00A - 8:50A
4127,M W F - 9:10A - 10:00A
4128,M W F - 9:10A - 10:00A
4129,M W F - 10:25A - 11:15A
4130,M W F - 11:40A - 12:30P
4131,M W F - 1:00P - 1:50P
4132,T R - 11:10A - 12:25P
4133,M W F - 2:30P - 3:20P
4134,T - 8:00A - 9:15A
4135,T - 9:35A - 10:50A
4136,T - 11:10A - 12:25P
4137,R - 9:35A - 10:50A
4138,R - 11:10A - 12:25P
4139,M W F - 8:00A - 8:50A
4140,M W F - 9:10A - 10:00A
4141,M W F - 10:25A - 11:15A
4142,M W F - 10:25A - 11:15A
4143,M W F - 11:40A - 12:30P
4144,M W F - 1:00P - 1:50P
4145,M W F - 2:30P - 3:20P
4146,M W F - 4:05P - 4:55P
4147,T R - 10:00A - 11:45A
4148,T R - 10:00A - 11:45A
4149,M W - 12:45P - 2:00P
4150,M W - 2:20P - 3:35P
4151,M W - 12:45P - 2:00P
4152,M W - 2:20P - 3:35P
4153,T R - 2:20P - 3:35P
4154,T R - 3:55P - 5:10P
4155,T R - 9:35A - 10:50A
4156,(01) T - 5:45P - 7:00P(11) R - 5:45P - 7:00P
4157,M W - 12:45P - 2:00P
4158,M W - 2:20P - 3:35P
4159,(01) T - 9:35A - 10:50A(11) R - 9:35A - 10:50A
4160,(01) T - 9:35A - 10:50A(11) R - 9:35A - 10:50A
4161,(01) T - 11:10A - 12:25P(11) R - 11:10A - 12:25P
4162,(01) T - 11:10A - 12:25P(11) R - 11:10A - 12:25P
4163,(01) T - 2:20P - 3:35P(11) R - 2:20P - 3:35P
4164,(01) T - 2:20P - 3:35P(11) R - 2:20P - 3:35P
4165,T R - 12:45P - 2:00P
4166,T R - 12:45P - 2:00P
4167,M W - 12:45P - 2:00P
4168,F - 11:10A - 12:25P
4169,M W - 12:45P - 2:00P
4170,M W - 2:20P - 3:35P
4171,T R - 9:35A - 10:50A
4172,T R - 11:10A - 12:25P
4173,T R - 12:45P - 2:00P
4174,T R - 12:45P - 2:00P
4175,T R - 2:20P - 3:35P
4176,T R - 9:35A - 10:50A
4177,T R - 11:10A - 12:25P
4178,T R - 12:45P - 2:00P
4179,T R - 9:35A - 10:50A
4180,T R - 11:10A - 12:25P
4181,T R - 12:45P - 2:00P
4182,T R - 12:45P - 2:00P
4183,M W - 2:20P - 3:35P
4184,T R - 12:45P - 2:00P
4185,M W - 12:45P - 2:00P
4186,M W - 2:20P - 3:35P
4187,T R - 9:35A - 10:50A
4188,T R - 11:10A - 12:25P
4189,M W - 12:45P - 2:00P
4190,M W - 8:00A - 9:15A
4191,M W - 9:35A - 10:50A
4192,M W - 11:10A - 12:25P
4193,T R - 1:00P - 2:45P
4194,T R - 3:00P - 4:45P
4195,T R - 8:00A - 9:45A
4196,T R - 10:00A - 11:45A
4197,T R - 1:00P - 2:45P
4198,T R - 3:00P - 4:50P
4199,M W - 5:30P - 7:15P
4200,T R - 5:30P - 7:15P
4201,M W - 8:00A - 9:45A
4202,M W - 10:00A - 11:45A
4203,T R - 8:00A - 9:45A
4204,T R - 10:00A - 11:45A
4205,T R - 8:00A - 9:45A
4206,T R - 10:00A - 11:45A
4207,T R - 1:00P - 2:45P
4208,M W - 3:00P - 4:45P
4209,T R - 8:00A - 9:45A
4210,T R - 10:00A - 11:45A
4211,M W - 10:00A - 11:45A
4212,M W - 10:00A - 11:45A
4213,T R - 10:00A - 11:45A
4214,M W - 10:00A - 11:45A
4215,M W - 8:00A - 9:45A
4216,M W - 10:00A - 11:45A
4217,M W - 10:00A - 11:45A
4218,M W - 1:00P - 2:45P
4219,M T W R - 9:00A - 12:10P
4220,(01) M T W - 1:00P - 4:30P(11) R - 2:30P - 5:00P
4221,M T W R - 9:00A - 12:10P
4222,T - 3:00P - 4:45P
4223,W - 3:00P - 4:45P
4224,R - 3:00P - 4:50P
4225,T - 3:00P - 4:45P
4226,W - 3:00P - 4:45P
4227,R - 3:00P - 4:50P
4228,R - 7:00P - 9:00P
4229,M W - 2:00P - 3:00P
4230,T R - 1:00P - 2:00P
4231,T R - 2:00P - 3:00P
4232,M T W R - 1:00P - 3:30P
4233,M W - 3:55P - 4:55P
4234,W - 5:30P - 6:45P
4235,W - 2:30P - 3:45P
4236,W - 7:05P - 8:55P
4237,F - 1:00P - 2:15P
4238,W - 7:05P - 8:20P
4239,TBA
4240,TBA
4241,T - 5:30P - 6:45P
4242,F - 10:25A - 11:40A
4243,R - 7:00P - 8:30P
4244,R - 5:30P - 6:45P
4245,R - 5:30P - 6:45P
4246,T - 7:05P - 8:20P
4247,(01) W - 11:40A - 12:30P(11) TBA(21) TBA(31) TBA(41) TBA(51) TBA(61) TBA(71) TBA
4248,TBA
4249,TBA
4250,TBA
4251,T R - 9:35A - 12:20P
4252,M W - 11:10A - 12:25P
4253,F - 12:00P - 3:00P
4254,W F - 11:30A - 1:00P
4255,M W - 11:10A - 12:25P
4256,TBA
4257,TBA
4258,R - 7:00P - 8:30P
4259,TBA
4260,T R - 2:00P - 3:45P
4261,T R - 11:10A - 12:25P
4262,T R - 12:45P - 2:00P
4263,M W - 12:45P - 2:00P
4264,M W - 2:20P - 3:35P
4265,M W - 11:10A - 12:25P
4266,M W - 8:00A - 9:15A
4267,M W - 9:35A - 10:50A
4268,M W - 11:10A - 12:25P
4269,M W - 9:35A - 10:50A
4270,M W - 11:10A - 12:25P
4271,T R - 12:45P - 2:00P
4272,T R - 2:20P - 3:35P
4273,M W F - 9:10A - 10:00A
4274,M - 4:05P - 4:55P
4275,R - 4:00P - 5:00P
4276,M W F - 10:25A - 11:15A
4277,M W F - 10:25A - 11:15A
4278,M W F - 11:40A - 12:30P
4279,M - 11:40A - 12:40P
4280,M - 1:10P - 2:10P
4281,M - 2:40P - 3:40P
4282,T - 2:20P - 3:20P
4283,T - 3:50P - 4:50P
4284,W - 11:40A - 12:40P
4285,W - 1:10P - 2:10P
4286,W - 2:40P - 3:40P
4287,R - 2:20P - 3:20P
4288,M - 11:40A - 12:40P
4289,R - 3:50P - 4:50P
4290,M - 1:10P - 2:10P
4291,M - 2:40P - 3:40P
4292,T - 2:20P - 3:20P
4293,T - 3:50P - 4:50P
4294,W - 11:40A - 12:40P
4295,W - 1:10P - 2:10P
4296,R - 2:20P - 3:20P
4297,R - 3:50P - 4:50P
4298,M - 1:30P - 4:30P
4299,W - 1:30P - 4:30P
4300,F - 1:30P - 4:30P
4301,M - 5:00P - 8:00P
4302,W - 5:00P - 8:00P
4303,F - 5:00P - 8:00P
4304,T - 12:00P - 3:00P
4305,R - 12:00P - 3:00P
4306,R - 4:00P - 7:00P
4307,M T W - 1:00P - 2:30P
4308,TBA
4309,TBA
4310,M W F - 10:25A - 11:15A
4311,T R - 9:35A - 10:50A
4312,M W F - 2:30P - 3:20P
4313,M W F - 5:40P - 6:30P
4314,T R - 2:20P - 3:35P
4315,M W F - 1:00P - 1:50P
4316,T - 4:00P - 7:00P
4317,W - 8:00A - 11:00A
4318,T R - 12:45P - 2:00P
4319,M W F - 11:40A - 12:30P
4320,M W F - 4:05P - 4:55P
4321,T R - 11:10A - 12:25P
4322,T R - 11:10A - 12:25P
4323,T R - 8:00A - 9:15A
4324,W - 3:55P - 6:55P
4325,R - 3:55P - 6:55P
4326,T - 3:30P - 6:30P
4327,M - 3:55P - 6:55P
4328,T R - 3:55P - 5:10P
4329,TBA
4330,TBA
4331,TBA
4332,TBA
4333,TBA
4334,TBA
4335,TBA
4336,TBA
4337,TBA
4338,TBA
4339,T R - 12:45P - 2:00P
4340,M W F - 1:00P - 1:50P
4341,M W - 9:35A - 10:50A
4342,M W - 9:35A - 10:50A
4343,T R - 2:20P - 3:35P
4344,M W - 2:20P - 3:35P
4345,T R - 11:10A - 12:25P
4346,T R - 9:35A - 10:50A
4347,T R - 9:35A - 10:50A
4348,T R - 11:10A - 12:25P
4349,T R - 12:45P - 2:00P
4350,M W - 2:20P - 3:35P
4351,W - 3:00P - 6:00P
4352,F - 11:45A - 1:00P
4353,M W F - 4:05P - 4:55P
4354,TBA
4355,TBA
4356,TBA
4357,TBA
4358,TBA
4359,TBA
4360,TBA
4361,TBA
4362,TBA
4363,TBA
4364,TBA
4365,TBA
4366,TBA
4367,TBA
4368,TBA
4369,TBA
4370,TBA
4371,TBA
4372,TBA
4373,TBA
4374,TBA
4375,TBA
4376,TBA
4377,TBA
4378,TBA
4379,TBA
4380,TBA
4381,TBA
4382,TBA
4383,TBA
4384,TBA
4385,TBA
4386,TBA
4387,TBA
4388,TBA
4389,TBA
4390,TBA
4391,TBA
4392,TBA
4393,TBA
4394,TBA
4395,TBA
4396,TBA
4397,TBA
4398,TBA
4399,TBA
4400,TBA
4401,TBA
4402,TBA
4403,TBA
4404,TBA
4405,TBA
4406,TBA
4407,TBA
4408,TBA
4409,TBA
4410,TBA
4411,TBA
4412,TBA
4413,TBA
4414,TBA
4415,TBA
4416,TBA
4417,TBA
4418,TBA
4419,TBA
4420,TBA
4421,T R - 3:55P - 5:10P
4422,T R - 9:35A - 10:50A
4423,TBA
4424,TBA
4425,TBA
4426,TBA
4427,TBA
4428,TBA
4429,TBA
4430,TBA
4431,TBA
4432,TBA
4433,TBA
4434,TBA
4435,TBA
4436,TBA
4437,TBA
4438,TBA
4439,TBA
4440,TBA
4441,TBA
4442,TBA
4443,TBA
4444,TBA
4445,TBA
4446,TBA
4447,TBA
4448,TBA
4449,TBA
4450,TBA
4451,TBA
4452,TBA
4453,TBA
4454,TBA
4455,TBA
4456,TBA
4457,TBA
4458,TBA
4459,TBA
4460,TBA
4461,TBA
4462,TBA
4463,TBA
4464,TBA
4465,W - 1:00P - 4:30P
4466,TBA
4467,TBA
4468,T R - 2:00P - 3:45P
4469,M T W - 1:00P - 3:00P
4470,TBA
4471,M - 3:00P - 5:00P
4472,M W - 8:00A - 9:15A
4473,M W - 8:00A - 9:15A
4474,T R - 12:45P - 2:00P
4475,T R - 12:45P - 2:00P
4476,T R - 2:20P - 3:35P
4477,T R - 3:55P - 5:10P
4478,M W - 9:35A - 10:50A
4479,T R - 12:45P - 2:00P
4480,W - 3:30P - 6:30P
4481,W - 3:30P - 6:30P
4482,W - 3:30P - 6:30P
4483,W - 3:30P - 6:30P
4484,W - 3:30P - 6:30P
4485,M W - 8:00P - 9:30P
4486,M W - 8:00P - 9:30P
4487,T R - 2:20P - 3:35P
4488,T R - 3:55P - 5:10P
4489,M W - 12:45P - 2:00P
4490,T R - 11:10A - 12:25P
4491,M W - 11:10A - 12:25P
4492,T R - 9:35A - 10:50A
4493,T R - 11:10A - 12:25P
4494,T R - 11:10A - 12:25P
4495,M W - 12:45P - 2:00P
4496,T R - 9:35A - 10:50A
4497,M W - 11:10A - 12:25P
4498,T R - 5:30P - 6:45P
4499,T R - 5:30P - 6:45P
4500,T R - 3:55P - 5:10P
4501,T R - 2:20P - 3:35P
4502,M - 12:45P - 3:35P
4503,T R - 3:55P - 5:10P
4504,F - 8:00A - 11:30A
4505,W - 7:05P - 9:55P
4506,T R - 5:30P - 6:45P
4507,T R - 5:30P - 6:45P
4508,T R - 2:20P - 3:35P
4509,M W - 2:20P - 3:35P
4510,W - 3:55P - 6:45P
4511,T R - 9:35A - 10:50A
4512,T R - 2:20P - 3:35P
4513,F - 12:45P - 1:45P
4514,M W - 3:55P - 5:10P
4515,T R - 3:55P - 5:10P
4516,M W - 12:45P - 2:00P
4517,(01) W - 12:45P - 2:00P(11) F - 12:45P - 2:00P
4518,T R - 9:35A - 10:50A
4519,F - 12:45P - 1:45P
4520,T R - 11:10A - 12:25P
4521,M W - 11:10A - 12:25P
4522,T R - 3:55P - 5:10P
4523,T - 6:00P - 8:30P
4524,TBA
4525,T R F - 11:00A - 12:15P
4526,T R F - 11:00A - 12:15P
4527,T R F - 11:00A - 12:15P
4528,T W F - 9:30A - 10:45A
4529,T W F - 2:00P - 3:15P
4530,T W F - 2:00P - 3:15P
4531,M R - 8:30A - 9:20A
4532,M R - 9:45A - 10:35A
4533,M R - 2:20P - 3:10P
4534,M R - 3:25P - 4:15P
4535,M R - 8:30A - 9:20A
4536,M R - 9:45A - 10:35A
4537,T F - 8:30A - 9:20A
4538,M W R - 12:30P - 1:45P
4539,M W R - 12:30P - 1:45P
4540,M W R - 12:30P - 1:45P
4541,W F - 10:00A - 11:40A
4542,M - 9:00A - 10:40A
