['12000_students/m_students.txt', '6:30', '23:59', '50']
--------CROWDED EDGES--------
722722002 414
721202194 203
721202195 200
152169589 180
43667477 180
418408259 154
152173980 142
137776166 142
152169642 140
152169600 137
448536286 137
721202200 136
880857138 133
726181112 130
152169656 129
167402604 121
152173958 120
680369139 116
680369130 108
43667438 104
167402568 101
151184825 99
151183979 99
726181175 96
205554782 94
152173974 92
152169537 91
726181106 91
680369133 90
152169542 90
151184876 89
151183987 87
153117641 87
720982704 87
418408233 86
153121930 85
314294738 85
151184859 84
151184846 82
151183991 81
151184877 79
237462367 79
152169607 79
151184865 78
153117565 78
151183957 76
152169540 74
152169576 73
43667493 73
151183975 69
--------TIME--------
start: 2021-04-24 20:55:01.366946
end: 2021-04-25 14:59:17.291978
timedelta: 18:04:15.925032
