['12000_students/f_students.txt', '6:30', '23:59', '50']
--------CROWDED EDGES--------
722722002 533
721202195 268
152169589 262
721202194 233
137776166 185
721202200 179
726181112 177
167402604 154
152173980 144
418408259 130
880857138 128
151183979 124
167402568 121
680369130 115
151184859 114
237462367 114
152169607 113
151184877 109
151184825 108
152169542 106
680369139 102
43667477 99
314294738 90
137776158 90
43667493 89
17558874 87
151184842 86
151183957 83
152169656 83
151183959 80
151183975 79
418408233 79
151184852 77
137776162 77
726181106 77
43667438 76
152169537 76
680369133 71
167402586 71
153117641 71
43667574 71
162046254 70
167402569 70
680369131 68
151183954 67
17540347 67
151183990 66
151183991 66
139944224 66
152168312 64
--------TIME--------
start: 2021-04-24 20:55:01.406661
end: 2021-04-25 06:57:54.470477
timedelta: 10:02:53.063816
