['1200_students/t_students.txt', '6:30', '23:59', '50']
--------CROWDED EDGES--------
722722002 89
152169589 48
721202195 46
721202194 43
721202200 36
167402604 29
151183979 26
152173980 24
151184859 24
151184877 24
237462367 24
152169607 24
152169542 23
167402568 23
314294738 21
418408259 21
43667438 21
152169642 21
152173958 20
448536286 20
205554782 20
152169600 19
680369130 18
726181175 17
151183990 17
151183957 17
151183987 16
152173974 16
151184825 16
43667477 16
151184842 15
680369139 15
167402586 15
167402569 15
43667574 15
680369133 14
43667493 14
152169656 14
43667513 14
418408233 13
151183975 13
151184865 13
151183991 13
17558874 13
152170429 13
151183954 12
162046254 12
151183959 12
143342005 12
153117565 12
--------TIME--------
start: 2021-04-24 20:55:01.401549
end: 2021-04-25 00:26:28.567262
timedelta: 3:31:27.165713
